Pressure 1;Pressure 2;Freq;Date;Time
0.00;-0.04;5236.41;04.06.2025;13:50:12
0.03;0.01;5425.44;04.06.2025;13:50:13
0.05;0.07;5117.30;04.06.2025;13:50:14
0.07;0.05;5509.99;04.06.2025;13:50:15
0.10;0.13;5109.18;04.06.2025;13:50:16
0.12;0.12;5403.53;04.06.2025;13:50:17
0.15;0.14;5161.47;04.06.2025;13:50:18
0.17;0.20;5277.87;04.06.2025;13:50:19
0.20;0.15;5212.16;04.06.2025;13:50:20
0.23;0.20;5201.49;04.06.2025;13:50:21
0.25;0.27;5323.17;04.06.2025;13:50:22
0.28;0.27;5187.65;04.06.2025;13:50:23
0.30;0.32;5240.83;04.06.2025;13:50:24
0.32;0.34;5371.27;04.06.2025;13:50:25
0.35;0.37;5119.82;04.06.2025;13:50:26
0.38;0.36;5143.20;04.06.2025;13:50:27
0.40;0.42;5145.54;04.06.2025;13:50:28
0.43;0.47;5282.91;04.06.2025;13:50:29
0.45;0.46;5176.56;04.06.2025;13:50:30
0.48;0.49;5192.54;04.06.2025;13:50:31
0.50;0.50;5103.83;04.06.2025;13:50:32
0.52;0.56;5172.96;04.06.2025;13:50:33
0.55;0.55;5220.79;04.06.2025;13:50:34
0.57;0.61;5222.65;04.06.2025;13:50:35
0.61;0.60;5225.38;04.06.2025;13:50:36
0.63;0.61;5144.51;04.06.2025;13:50:37
0.64;0.68;5368.60;04.06.2025;13:50:38
0.67;0.69;5098.58;04.06.2025;13:50:39
0.70;0.73;5322.96;04.06.2025;13:50:40
0.73;0.72;5211.82;04.06.2025;13:50:41
0.74;0.73;5255.12;04.06.2025;13:50:42
0.78;0.74;5187.56;04.06.2025;13:50:43
0.80;0.80;5238.65;04.06.2025;13:50:44
0.83;0.77;5333.67;04.06.2025;13:50:45
0.86;0.90;5407.02;04.06.2025;13:50:46
0.88;0.91;5093.47;04.06.2025;13:50:47
0.90;0.88;5188.01;04.06.2025;13:50:48
0.93;0.92;5219.93;04.06.2025;13:50:49
0.96;0.93;5153.82;04.06.2025;13:50:50
0.97;0.95;5252.77;04.06.2025;13:50:51
1.00;1.03;5321.31;04.06.2025;13:50:52
1.02;1.04;5313.89;04.06.2025;13:50:53
1.05;1.04;5257.32;04.06.2025;13:50:54
1.08;1.06;5075.10;04.06.2025;13:50:55
1.11;1.09;5103.45;04.06.2025;13:50:56
1.12;1.13;5196.62;04.06.2025;13:50:57
1.15;1.13;5133.15;04.06.2025;13:50:58
1.17;1.14;5298.48;04.06.2025;13:50:59
1.21;1.21;5364.41;04.06.2025;13:51:00
1.22;1.19;5128.19;04.06.2025;13:51:01
1.25;1.22;5163.13;04.06.2025;13:51:02
1.27;1.28;5172.51;04.06.2025;13:51:03
1.29;1.31;5140.60;04.06.2025;13:51:04
1.32;1.31;5137.23;04.06.2025;13:51:05
1.36;1.37;5103.78;04.06.2025;13:51:06
1.39;1.38;5255.12;04.06.2025;13:51:07
1.40;1.43;5225.81;04.06.2025;13:51:08
1.41;1.45;5196.57;04.06.2025;13:51:09
1.46;1.48;5334.16;04.06.2025;13:51:10
1.49;1.47;5257.83;04.06.2025;13:51:11
1.49;1.51;5370.47;04.06.2025;13:51:12
1.53;1.54;5171.28;04.06.2025;13:51:13
1.54;1.55;5134.21;04.06.2025;13:51:14
1.57;1.54;5226.45;04.06.2025;13:51:15
1.61;1.59;5366.78;04.06.2025;13:51:16
1.63;1.61;5218.11;04.06.2025;13:51:17
1.66;1.65;5257.42;04.06.2025;13:51:18
1.69;1.70;5222.24;04.06.2025;13:51:19
1.69;1.68;5243.16;04.06.2025;13:51:20
1.71;1.67;5274.06;04.06.2025;13:51:21
1.75;1.74;5340.11;04.06.2025;13:51:22
1.78;1.77;5076.49;04.06.2025;13:51:23
1.78;1.80;5111.41;04.06.2025;13:51:24
1.83;1.84;5068.26;04.06.2025;13:51:25
1.85;1.87;5282.76;04.06.2025;13:51:26
1.89;1.85;5120.25;04.06.2025;13:51:27
1.89;1.87;5289.68;04.06.2025;13:51:28
1.92;1.93;5292.29;04.06.2025;13:51:29
1.94;1.90;5312.32;04.06.2025;13:51:30
1.97;1.99;5246.79;04.06.2025;13:51:31
2.01;2.03;5169.45;04.06.2025;13:51:32
2.03;1.97;5360.80;04.06.2025;13:51:33
2.03;2.06;5232.66;04.06.2025;13:51:34
2.09;2.09;5288.17;04.06.2025;13:51:35
2.11;2.10;5267.48;04.06.2025;13:51:36
2.14;2.13;5239.42;04.06.2025;13:51:37
2.16;2.15;5321.86;04.06.2025;13:51:38
2.18;2.18;5269.81;04.06.2025;13:51:39
2.20;2.19;5173.78;04.06.2025;13:51:40
2.24;2.26;5254.34;04.06.2025;13:51:41
2.26;2.27;5160.66;04.06.2025;13:51:42
2.26;2.33;5343.90;04.06.2025;13:51:43
2.28;2.28;5331.50;04.06.2025;13:51:44
2.35;2.34;5311.54;04.06.2025;13:51:45
2.34;2.34;5307.15;04.06.2025;13:51:46
2.37;2.36;5202.48;04.06.2025;13:51:47
2.40;2.35;5304.30;04.06.2025;13:51:48
2.43;2.39;5188.13;04.06.2025;13:51:49
2.43;2.44;5079.48;04.06.2025;13:51:50
2.49;2.51;4995.36;04.06.2025;13:51:51
2.50;2.46;5245.40;04.06.2025;13:51:52
2.51;2.52;5226.67;04.06.2025;13:51:53
2.53;2.53;5262.52;04.06.2025;13:51:54
2.59;2.60;5291.68;04.06.2025;13:51:55
